review,sentiment
bacon was not properly cooked and was smelling,0
Awesome ambience and food Delicious omelettes and sandwiches at quite affordable prices Staff are friendly Best avocado smoothie I have ever had,1
good,1
Excellent tea cheese omlette a must try Dont forget the masala maggi,1
The mocktails were good We ordered pork ribs which was well prepared But the sizzler was not so great Overall it was ok ok on the better side,1
"Good variety of food great ambiance
Disappointed with Pasta  but its ok when you get such exceptional service
Will come again ",1
Always a welcoming place with the most amazing burgers in town I have tried some 45 burgers already and all taste great Highly recommend ,1
not up to expectations dint enjoy the burger  disappointed,0
Awesome place to hangout Love it Friendly staffs Great pocket friendly food Quality not compromised new favourite place in Koramangala,1
veg burger taste was awful,0
Nothing above average tbh  coffee shake is trash  delivery was horrendous,0
Not up to the expectation Jamaican bomb was not up to mark OK OK,0
thick crust looks like thin crust,0
Food is very yummy enjoyed a lot here very specious restaurant probably the best in this locality in terms of quality and also economic tooo thanks,1
Great food,1
the choco lava cake was cold very disappointing,0
Odered grilled sandwich and they gave toasted bread with uncooked cheese inside,0
"We ordered all American burger and sandwiches it was not cooked properly The taste was bad
Dont ever order from this place
Its too pricey too",0
Ordered garlic rice with kadai panner Food was inedible They share fake post by them self for a hype Waste of time n money Eat at ur own risk,0
Why not delivering in roopena agrahara near to silk board side  You will more consumers from here  kindly reply we are looking to hear from you,0
I had a great experience with lovely and tasty dishes Specially the ambience is very great  Every1 shd try to taste out the best ,1
Their shawarma is the best Havent really tried any other dishes of theirs yet Quantity is pretty less compared to the prices An average place,1
no fries,0
Ordered garlic rice with kadai panner Food was inedible They share fake post by them self for a hype Waste of time n money Eat at ur own risk,0
,1
Yummyyyy Food,1
Perfect place to spend a really good timeThumbs up for both tea and coffeeI come here everytime and enjoy my perfect cup of tea and snacks,1
happy,1
The burgers are not good No taste at all,0
awesome,1
It is a very lively and good cafe Good menu listings Its a great place to hang out with friends and have a good cup of tea on a weekend evening,1
They sent wrong delivery white bread instead of brown bread No onions,0
the food wasnt good,0
too bad taste,0
very good quality and quantity you can go for this restaurant,1
It was non spicy,0
Ordered garlic rice with kadai panner Food was inedible They share fake post by them self for a hype Waste of time n money Eat at ur own risk,0
not good,0
superb  tasty pizza far better than others in this price range,1
"The sandwich was filled with mayonnaise
Taste can be improved",0
Decent place to hangout ambiance wise pretty OK can play uno and other indoor games there Food was 35 but the service was pretty quick,1
"Perfect place for small budget eatouts
A tiny but cosy place Loved the food
No much options under drinks Only alcohol they serve is beer",1
Nice and quite cafe in the heart of the city Good place for a quite evening Tried there fries  Earl Grey Tea Double Shot Espresso Great service,1
the food was really good but the delivery guy was late,1
Good place to hangout neararound MG road and brigade road Rooftop place it is Food and service is decent Havinh Zomato gold is bonus out here,1
good,1
Pizza can be improved ,1
the food wasnt good,0
non veg smell in veg food,0
good,1
A great place for a breakfast with the family  Went with friends all enjoyed the food overall a great experience ,1
"Waited for long time
Nobody attended
Wasted my time
Walkout
Attender dont know anything
First respect the customer
You guys need to upgrade a lot",0
Ordered caffe frappe bulk gave only half the pouch,0
They sent wrong delivery white bread instead of brown bread No onions,0
i ordered large pizza but it was just the small of a small pizza,0
"Good taste
Best in quality
Best in service
Best restaurent in jayanagar for having fast food
Must visit and enjoy the taste",1
Nice place pizza and burger too good Biriyani special They have lots of variety  Small place but good  Budget restaurant pocket friendly,1
There werent enough sugar packs for bulk coffee order,1
"Homely ambience
Nice welcome by owner
Chicken nuggets and french fries are good
Burger is also good
Wash rooms are average needs improvement ",1
the choco lava cake was cold very disappointing,0
Superb and friendly service  Taste was good and awesome Loved it we can have our choice of food and refreshments in a good atmosphere,1
"The sandwich was filled with mayonnaise
Taste can be improved",0
Mouth watering pizza Very affordable with zomato gold Dedicated staff is present Would love to visit this place again Nice ambience,1
The mocktails were good We ordered pork ribs which was well prepared But the sizzler was not so great Overall it was ok ok on the better side,1
Quite quiet and peaceful to work in They have really good cheesecake in a jar and pita with hummus Service is good although not the best,1
Super smallys as always Glad to know they are now at hsr and centrally located Polite staff and great food Would come back again for sure,1
nachos was of bad taste n smelled oil and pizza was ook,0
Nice and quite cafe in the heart of the city Good place for a quite evening Tried there fries  Earl Grey Tea Double Shot Espresso Great service,1
Ur food was delivered cold for me,0
Healthy food clean and peacefully tucked away from the main road Friendly staff,1
Nothing above average tbh  coffee shake is trash  delivery was horrendous,0
Nothing above average tbh  coffee shake is trash  delivery was horrendous,0
Bad taste,0
"Really good approach towards customers Drinks and food really tasty
Good ambiance and music  and good service as well 
Must visit once ",1
Nothing above average tbh  coffee shake is trash  delivery was horrendous,0
"Perfect place for small budget eatouts
A tiny but cosy place Loved the food
No much options under drinks Only alcohol they serve is beer",1
late delivery,0
Always a welcoming place with the most amazing burgers in town I have tried some 45 burgers already and all taste great Highly recommend ,1
quality and quantity is very poor for the amount,0
good,1
its not a pizza luks like normal bread,0
awesome food and great delivery,1
Amazing Walnut Brownie,1
This place is really really good for its ambiance and food The cost is decent and friendly staff Hookah is good here and so are the pizzas ,1
Worst hot chocolate in the history Please dont name it Dark Chocolate Theres nothing chocolate about it let alone Dark Chocolate,0
It was non spicy,0
"Food tastes good Food is healthy Staff are courteous Not much in terms of variety
The veg has two options Indian and Global Ditto for non veg",1
Ordered the chicken wholesome and caramel banana French toast Both were amazing Ideal place for a good breakfast The pancakes are good as well,1
I opted for extra veg but no veg only n its not hot,0
"Nice food
Really liked the cool and calm ambience Seating space is a bit small Is located in front of the IIM Bangalore gate Easy to locate",1
Ur food was delivered cold for me,0
Good taste but flakes are required,1
wont you even use decent burger buns some cheap buns all dry at top and soggy at bottom,0
Went there  Hot place not proper air conditioning  Staff was busy watching movie  Didnt bother to ask for order Walked out right away,0
"The sandwich was filled with mayonnaise
Taste can be improved",0
Most of the foods were really tasty although I feel they were a little overpriced The ambience was average but the service was really good,1
Much needed place in ORR has a great ambience The staff r too friendly and down to earth Awesome food Best place to hangout with friends,1
Food was not tasty,0
Very shady placetoo many dogs and mosquitoeslatte was fine but ginger tea sucked bad timelocatn isnt nicedint like d place at all,0
I had the Thai curry ate it all so I dont have evidence the tiramisu is okay can be better Cozy nice place Good music Nice location,1
Small place but still the ambience was fabulous I havent tried any food but different coffees and cookies A perfect place for break time,1
nice and tasty,1
"Waited for long time
Nobody attended
Wasted my time
Walkout
Attender dont know anything
First respect the customer
You guys need to upgrade a lot",0
Ordered garlic rice with kadai panner Food was inedible They share fake post by them self for a hype Waste of time n money Eat at ur own risk,0
great experience,1
Suggested by my friend so happened to visit nly to find out the sheesha is crazily good including the service provided Thumbs up to this one,1
bad quality,0
Ordered garlic rice with kadai panner Food was inedible They share fake post by them self for a hype Waste of time n money Eat at ur own risk,0
Ambience is good ordered pizza which wasnt greatit was only with capsicum and lots of cheese ordered mushroom sandwich which is too good,1
I didnt get the food i ordered,0
the food wasnt good,0
Ordered prawn biriyani The quality of rice and prawn was good It was light and tasty The quantity of gravy and raita can be increased though ,1
"Smoky pasta was all my favoriteLove to recommend
French fries was all good
Pizza could have been more better
Services here are quite responsive",0
did not bring order properly,0
"Smoky pasta was all my favoriteLove to recommend
French fries was all good
Pizza could have been more better
Services here are quite responsive",0
"As I entered this store with my friend s Awesome place and biriyani was very tasty and yummu 
Ambience was really great
Nice place overall",1
not up to expectations dint enjoy the burger  disappointed,0
"The sandwich was filled with mayonnaise
Taste can be improved",0
Food is very yummy enjoyed a lot here very specious restaurant probably the best in this locality in terms of quality and also economic tooo thanks,1
The breakfast was good the service was nice the price is ok the zomato gold works good and saves u a lot of money over all a good experience,1
Nice and quite cafe in the heart of the city Good place for a quite evening Tried there fries  Earl Grey Tea Double Shot Espresso Great service,1
Just crust All the way,0
Good ambience and good music if you like Bollywood music and sheesha this is a place you cant miss out and food price is pocket friendly,1
"The sandwich was filled with mayonnaise
Taste can be improved",0
,0
Missing items ordered,0
The chillie paneer and Alfredo pasta were amazingly awesomeLoved the taste,1
good,1
Why not delivering in roopena agrahara near to silk board side  You will more consumers from here  kindly reply we are looking to hear from you,0
"Good variety of food great ambiance
Disappointed with Pasta  but its ok when you get such exceptional service
Will come again ",1
Ordered food from this place today The delivery was quick and the food was good The packaging was excellent  Their oreo shake was so yummy,1
,0
Super smallys as always Glad to know they are now at hsr and centrally located Polite staff and great food Would come back again for sure,1
Pepsi I got the small sizeand I had ordered for the medium size,0
I didnt get the food i ordered,0
good,1
did not bring order properly,0
Nothing above average tbh  coffee shake is trash  delivery was horrendous,0
"Overpriced
Doesnt give you an authentic bill and on explains the 20 tax as food tax
Poor Service",0
I didnt get the food i ordered,0
I opted for extra veg but no veg only n its not hot,0
Why not delivering in roopena agrahara near to silk board side  You will more consumers from here  kindly reply we are looking to hear from you,0
The breakfast was good the service was nice the price is ok the zomato gold works good and saves u a lot of money over all a good experience,1
"Perfect place for small budget eatouts
A tiny but cosy place Loved the food
No much options under drinks Only alcohol they serve is beer",1
order not delivered,0
Nothing above average tbh  coffee shake is trash  delivery was horrendous,0
Very nice food Ambience is also very calm Loved the white sauce pasta and the veg indian meal The location of the restaurant is also apt,1
"Good variety of food great ambiance
Disappointed with Pasta  but its ok when you get such exceptional service
Will come again ",1
not atol warm it was expected a hot crispy pizza,0
veg burger taste was awful,0
Appealing ambience Reasonable rates collage friendly and one of the best eat out near jc campus limited options with good tast and appearance ,1
Perfect place to spend a really good timeThumbs up for both tea and coffeeI come here everytime and enjoy my perfect cup of tea and snacks,1
Suggested by my friend so happened to visit nly to find out the sheesha is crazily good including the service provided Thumbs up to this one,1
Ordered garlic rice with kadai panner Food was inedible They share fake post by them self for a hype Waste of time n money Eat at ur own risk,0
I ordered 2 cups of ginger tea and got 2 cups of black tea,0
non veg smell in veg food,0
Very slow service Limited variety Taste very ordinary Nothing unique Very less range for veg customers I may not recommend for pure vegetarians,0
Cheap veg cafe with great value and taste for nachos and pizza Soon after shopping at jayanagar it is really a good place to feed your tummy,1
chicken items are good tasteless and no salt in chicken fried rice,0
Loved the classy ambience and their mocha with cream its one of the best Should drop by for anytime coffee and very courteous staff,1
worst packing ever would never want to eat from this place again your rating was good and i thought it be worth ordering but extremly dissapointed,0
Missing items ordered,0
"Great food relaxed ambiance perfect place to unwind with friends
Service was exceptional ",1
,1
Good ambience and good music if you like Bollywood music and sheesha this is a place you cant miss out and food price is pocket friendly,1
"The worst pizza I have ever had It was hard like a biscuit My homemade pizza was much better than this
 Could not finish even one slice",0
Awesome food Chilly noodles were mindblowing Quick service Belgium choco is heaven Very tasty food Love the taste Alwys up for this place,1
They sent some other product,0
Good food and hookah  Very pocket friendly and a fun spot to hang out in Btm layout Interiors are simple and nice Good staff and nice service,1
Ordered the chicken wholesome and caramel banana French toast Both were amazing Ideal place for a good breakfast The pancakes are good as well,1
good food,1
"Waited for long time
Nobody attended
Wasted my time
Walkout
Attender dont know anything
First respect the customer
You guys need to upgrade a lot",0
Ordered garlic rice with kadai panner Food was inedible They share fake post by them self for a hype Waste of time n money Eat at ur own risk,0
The burgers are not good No taste at all,0
"Good place to visit with friends Price of food is little bit high but taste is good
I ordered pasta shake fish and chips and fries Must visit",1
quality and quantity is very poor for the amount,0
"Horrible food 

Update 
Friends convienced me to give it another try Nothing changed Tried both Italian and Thai Both were bad ",0
Nice and quite cafe in the heart of the city Good place for a quite evening Tried there fries  Earl Grey Tea Double Shot Espresso Great service,1
wrong order delivered I ordered cheese balls but got french fries,0
Perfect place to spend a really good timeThumbs up for both tea and coffeeI come here everytime and enjoy my perfect cup of tea and snacks,1
no fries,0
taste and even the packing of the food is good,1
I opted for extra veg but no veg only n its not hot,0
The place is a bit small Has seating arrangementSometimes crowded as well I have always loved their oreo shake and chicken sandwich,1
Got a different order,0
Ordered chilli paneer It was the worst chilli paneer Ive ever had,0
Its very calm and peaceful place it will be a good choice for date ambiance is good I loved coffee over here Italian dishes are delicious,1
It was non spicy,0
All of us who went there at different times got stomach upsets Too oily and badly cooked,0
Pizza can be improved ,1
this place is usually known for capachinno and cold coffee has intention to visited this place since long time finally I got it,1
wet n worst food worst food of my life,0
nice burgers,1
Pepsi I got the small sizeand I had ordered for the medium size,0
Went there  Hot place not proper air conditioning  Staff was busy watching movie  Didnt bother to ask for order Walked out right away,0
"A perfect renovated look of Refresh is taking my brethe here Very nice place to have quick bites along with chit chats 

I recommend this",1
Good pizza,1
We have ordered pasta and chicken biriyani  quantity and quality was superb now regular for cafe graffiters  Taste really mindblowing,1
,1
Good place for breakfast You might have to wait for 1520 minutes to get a table on weekends but its worth the wait Will definitely visit again,1
Very shady placetoo many dogs and mosquitoeslatte was fine but ginger tea sucked bad timelocatn isnt nicedint like d place at all,0
"An amazing place and a must visit 
Very friendly and courteous staff
Must try  Veg Burger Veg Pizza Samosa Veg Finger stuffed Pineapple Pizza",1
It is a very lively and good cafe Good menu listings Its a great place to hang out with friends and have a good cup of tea on a weekend evening,1
,1
super,1
Excellent tea cheese omlette a must try Dont forget the masala maggi,1
"Truffles can never disappoint you Not the one at St Marks 

We wanted to try hazelnut bomb given we were full will definitely try it next time",1
The breakfast was good the service was nice the price is ok the zomato gold works good and saves u a lot of money over all a good experience,1
not moneys worth at all,0
Amazing place Very friendly staff Wide range of flavours of sheesha available Good ambiance Pretty cool hangout place for college students,1
"Best places for ur Sunday breakfast s
Always crowded need to wait few min s
Scrumptious food
Homely environment
It has become my Sunday BF adDa now",1
We have ordered pasta and chicken biriyani  quantity and quality was superb now regular for cafe graffiters  Taste really mindblowing,1
I opted for extra veg but no veg only n its not hot,0
Nice cosy place We visited this place in the afternoon and it was very peaceful We really loved the coffee variety there and the sandwiches also,1
"Rating the lowest for allowing people to smoke 
Bombay cutting chai was good 
Bun wasnt good 
Kesar Badam ka Garh doodh was ok",0
good,1
Nice and quite cafe in the heart of the city Good place for a quite evening Tried there fries  Earl Grey Tea Double Shot Espresso Great service,1
"We tried the cheesy scrambled eggs with wedges  They were really good Perfectly cooked eggs
The seating is also quite good for a meeting",1
Pepsi I got the small sizeand I had ordered for the medium size,0
food quality is very bad please never order pizza from this place,0
Perfect place to spend a really good timeThumbs up for both tea and coffeeI come here everytime and enjoy my perfect cup of tea and snacks,1
taste and even the packing of the food is good,1
Missing items ordered,0
good,1
Ordered chilli paneer It was the worst chilli paneer Ive ever had,0
the delivery took a long time and burger was not hot,0
"Good place to visit with friends Price of food is little bit high but taste is good
I ordered pasta shake fish and chips and fries Must visit",1
Restaurant ambience is so nice even the menu is truly awesome and tradition Indian cuisine so i like the food and service of this cafe,1
Very nice food Ambience is also very calm Loved the white sauce pasta and the veg indian meal The location of the restaurant is also apt,1
Went there  Hot place not proper air conditioning  Staff was busy watching movie  Didnt bother to ask for order Walked out right away,0
A great ambience to be in Recommended to foodies and the ones who wanna try new dishes Please do try and youll definitely come back Have fun ,1
Its very calm and peaceful place it will be a good choice for date ambiance is good I loved coffee over here Italian dishes are delicious,1
The worst burger ever,0
Place is good with new concept You can play childhood games and even video games Food was good I ordered pizza stuffed mushrooms and ice tea,1
Place is very amazing price is low as well taste is very good Service is also awesome people working here are awesome Must visit once at least,1
awesome  I really loved their services n food tqqqq,1
"Ambiance is Classy 
Food is Amazing a little expensive
so many varieties in fast food
Service is good 

Good place to visit nd Hangout at ",1
Very good burger,1
good,1
They sent wrong delivery white bread instead of brown bread No onions,0
best Zomato order for me till date,1
The breakfast was good the service was nice the price is ok the zomato gold works good and saves u a lot of money over all a good experience,1
Visited this cafe just for snacks  Nice place good service the bluberry cold coffee was too good  Had basket of fry It was tasty and filling,1
taste and even the packing of the food is good,1
Quantity can be increased,1
"Awesome food and nominal price
Been there for dinner and almost all the food were delicious
Try specially garlic chicken and triple schezwan rice",1
Potato wedges taste too good,1
It was non spicy,0
The Ice cream wasnt even cold it was warm,0
Perfect place to spend a really good timeThumbs up for both tea and coffeeI come here everytime and enjoy my perfect cup of tea and snacks,1
The food and the music was really tastybut the quantity good have been a bit morethe staffs were cordial will surely visit again in near future,1
The place is prefect if you want to have a nice long conversation or have your alone time and work or read something and have coffee and some snacks,1
Ordered prawn biriyani The quality of rice and prawn was good It was light and tasty The quantity of gravy and raita can be increased though ,1
Though the ambience was good food wasnt upto the mark Tried their pork belly steak which was too rubbery The wings were not that great either,0
Odered grilled sandwich and they gave toasted bread with uncooked cheese inside,0
Just crust All the way,0
It felt like home made and very bad in taste The main part is I didnt get the pizza that I ordered Worst for service,0
h,1
Decent place to hangout ambiance wise pretty OK can play uno and other indoor games there Food was 35 but the service was pretty quick,1
worst  not worth 10 also please guys beware of this ccd outlet its the worst,0
Been here to have their brews  I had the ginger tea and the masala chai and both were decent and they make it sugarless on request as well ,1
"Food tastes good Food is healthy Staff are courteous Not much in terms of variety
The veg has two options Indian and Global Ditto for non veg",1
"What a great find
The ambience was nice food was pretty good and the prices just amazing
This place is Definitely going to my revisit list ",1
poor delivery coffee was not even 70 in quantity and poor taste decided not to place any more orders,0
Very bad packaging Extremely bad,0
"Best service given by the staffs
Burgers are amazing and kolaveri di is the best
They offer you Fresh and Tasty food
Good place to visit",1
not bad,0
,1
very tasty burgersGood worth of money,1
good,1
worst packing ever would never want to eat from this place again your rating was good and i thought it be worth ordering but extremly dissapointed,0
Good taste but flakes are required,1
"Nice place to hang out with your friends Or sit alone and work or read
They have board games and a book shelf and a decent offering of food items",1
Perfect place to spend a really good timeThumbs up for both tea and coffeeI come here everytime and enjoy my perfect cup of tea and snacks,1
Ordered garlic rice with kadai panner Food was inedible They share fake post by them self for a hype Waste of time n money Eat at ur own risk,0
Nice and quite cafe in the heart of the city Good place for a quite evening Tried there fries  Earl Grey Tea Double Shot Espresso Great service,1
peri peri fries were not as usual,0
very good quality and quantity you can go for this restaurant,1
moderate,0
worst packing ever would never want to eat from this place again your rating was good and i thought it be worth ordering but extremly dissapointed,0
Good quality food The dosa and chicken curry is yummy The dosa and veg curry is yummier Overall good food Consistent quality Keep it up guys,1
Ur food was delivered cold for me,0
Difficult to find taste in any of the food hereI will not recommend it for sure,0
good,1
worst pasta Ive ever had,0
Poor service n management Food was a litltle bit okay average food taste Good for Gamers,0
This place is really awesome I love the food and ambience This is one the best cafe in the city  Staff is very polite generous and proactive,1
"A very small beautiful place
I really loved it
Everything was so beautiful that I loved every bit of it I visited Church Street Lasagna was OMG",1
They sent some other product,0
ossam,1
good,1
Moderately good super expensive food Even 2 extra olives in a burger is charged 15 bucks Missed subway,0
happy,1
peri peri fries were not as usual,0
"My goto place for an English breakkie at bangalore
Their hash browns and bacon are absolutely divine
I love their French toast and the pan cakes",1
good,1
peri peri fries were not as usual,0
good,1
Decent place to have Hookah and good times with your friends not very expensive A budgeted place  Food was very nice so as the ambience ,1
the death by chocolate cake is too hard and on an whole it sucks,0
very tasty burgersGood worth of money,1
I ordered Large but you guys gave me medium and regular pizza this not fair,0
worst packing ever would never want to eat from this place again your rating was good and i thought it be worth ordering but extremly dissapointed,0
wet n worst food worst food of my life,0
Pathetic experience ever I wont suggest anyone to go der to waste money Too costly and quantity that dey r serving is very less Not worth going,0
Moderately good super expensive food Even 2 extra olives in a burger is charged 15 bucks Missed subway,0
worst packing ever would never want to eat from this place again your rating was good and i thought it be worth ordering but extremly dissapointed,0
It was non spicy,0
good,1
too cold not good wont prefer again delivery guy was also rude,0
quantity was very less the box was half filled,1
yummy foood,1
bad quality,0
A great place for a breakfast with the family  Went with friends all enjoyed the food overall a great experience ,1
Been here for an evening snack the interiors are well put up A nice comfy place The food was ok similar to what other smallys have on offer,1
pasta was amazing,1
good,1
Awesome chicken burger D D ,1
,1
It is a very lively and good cafe Good menu listings Its a great place to hang out with friends and have a good cup of tea on a weekend evening,1
It is a very lively and good cafe Good menu listings Its a great place to hang out with friends and have a good cup of tea on a weekend evening,1
It has been an wonderful experience at this place The service was quick the staff was very courteous and the English Breakfast was amazing,1
good,1
Nice place to hangout with friends and amazing food and drink,1
I opted for extra veg but no veg only n its not hot,0
Spaghetti Not edible,0
Thanks,1
Its a good taste Chinese food I have visited several times I have enjoyed fantastic all type of food is nice taste and I like to visit every time,1
Its a really good place to spend time  really loved it It was our first visit me we loved it really wellcostumes for decorating was good ,1
ossam,1
"Food tastes good Food is healthy Staff are courteous Not much in terms of variety
The veg has two options Indian and Global Ditto for non veg",1
Appealing ambience Reasonable rates collage friendly and one of the best eat out near jc campus limited options with good tast and appearance ,1
A very new place with very tasty Italian and south indian foodgreat food at very low priceworth eating Very hygienic and value for money,1
,1
the death by chocolate cake is too hard and on an whole it sucks,0
good food,1
ordered crunchy chicken but received veg burger,0
the food wasnt good,0
I had been to this place  had Typical English Breakfast and it was awesome to have it I recomment to come here and enjoy the foodThank you,1
It was non spicy,0
Its not at all walnut brownie,0
Ur food was delivered cold for me,0
very bad taste,0
Shubhankar is a nice good server The place is amazing with good food and music I will surely come back again As I have visited this place twice,1
not atol warm it was expected a hot crispy pizza,0
Good quality food The dosa and chicken curry is yummy The dosa and veg curry is yummier Overall good food Consistent quality Keep it up guys,1
the death by chocolate cake is too hard and on an whole it sucks,0
wont you even use decent burger buns some cheap buns all dry at top and soggy at bottom,0
not up to expectations dint enjoy the burger  disappointed,0
Ordered garlic rice with kadai panner Food was inedible They share fake post by them self for a hype Waste of time n money Eat at ur own risk,0
Its always pleasant to come to Starbucks but this particular store staff was really polite and friendly Provided great service cheers,1
"What a great find
The ambience was nice food was pretty good and the prices just amazing
This place is Definitely going to my revisit list ",1
"Best places for ur Sunday breakfast s
Always crowded need to wait few min s
Scrumptious food
Homely environment
It has become my Sunday BF adDa now",1
Quite quiet and peaceful to work in They have really good cheesecake in a jar and pita with hummus Service is good although not the best,1
The Burger is too tasty and cheesy It is a normal cafe but if the weather is good its definite the place you would want to be at Revathy Venugopal,1
good taste,1
too late,0
yummy foood,1
Good taste but flakes are required,1
no fries,0
Amazing place  beautiful interior  quick service and most importantly delicious food  Just loved this place  the manager is very helpful ,1
the delivery took a long time and burger was not hot,0
Ambience is good ordered pizza which wasnt greatit was only with capsicum and lots of cheese ordered mushroom sandwich which is too good,1
too late,0
Its not at all walnut brownie,0
Very friendly staff cool set upChoco Shawarma is a must tryits better than all the shawarmas I ever had Loved it and is highly recommended,1
The burgers are not good No taste at all,0
Why not delivering in roopena agrahara near to silk board side  You will more consumers from here  kindly reply we are looking to hear from you,0
It is a very lively and good cafe Good menu listings Its a great place to hang out with friends and have a good cup of tea on a weekend evening,1
Thanks,1
too cold not good wont prefer again delivery guy was also rude,0
dont ever order pizza from here,0
Shubhankar is a nice good server The place is amazing with good food and music I will surely come back again As I have visited this place twice,1
Perfect place to spend a really good timeThumbs up for both tea and coffeeI come here everytime and enjoy my perfect cup of tea and snacks,1
"The sandwich was filled with mayonnaise
Taste can be improved",0
Good place for a casual evening with friends Good white sauce pasta and cheesy fries Would be a better place if they serve drinks as well,1
The Burger is too tasty and cheesy It is a normal cafe but if the weather is good its definite the place you would want to be at Revathy Venugopal,1
A very new place with very tasty Italian and south indian foodgreat food at very low priceworth eating Very hygienic and value for money,1
the choco lava cake was cold very disappointing,0
did not bring order properly,0
"Great food relaxed ambiance perfect place to unwind with friends
Service was exceptional ",1
the food wasnt good,0
bad Patty was spoiled it smelled bad and shake was just water and a Oreo thrown in it,0
"super food and its very good qualityhave been there twice and both times served well
good for cheese lovers
nice ly locatedmust visit again",1
gd,1
Good ambience and good music if you like Bollywood music and sheesha this is a place you cant miss out and food price is pocket friendly,1
nice burgers,1
"Great food relaxed ambiance perfect place to unwind with friends
Service was exceptional ",1
From the rain courtyard to the pots of coffee and tea and for a million other reasons this pretty cafe has got to be my most frequented place,1
The place is prefect if you want to have a nice long conversation or have your alone time and work or read something and have coffee and some snacks,1
good food,1
"Good variety of food great ambiance
Disappointed with Pasta  but its ok when you get such exceptional service
Will come again ",1
Location is hideous Insects everywhere The pasta was so bland The veggie burger was quite spicy Not a place for couples Or for anyone actually,0
Mouth watering pizza Very affordable with zomato gold Dedicated staff is present Would love to visit this place again Nice ambience,1
the death by chocolate cake is too hard and on an whole it sucks,0
good,1
Good food with good ambienceGreat place to hang out with frnds All kinds of food available and it is great to spend time with friends ,1
food quality is very bad please never order pizza from this place,0
pasta was amazing,1
Decent place to hangout ambiance wise pretty OK can play uno and other indoor games there Food was 35 but the service was pretty quick,1
Decent place to hangout ambiance wise pretty OK can play uno and other indoor games there Food was 35 but the service was pretty quick,1
The Ice cream wasnt even cold it was warm,0
Food is not so delicious I expected more but it dissapointed me,0
It is a very lively and good cafe Good menu listings Its a great place to hang out with friends and have a good cup of tea on a weekend evening,1
not bad,0
very quick and on time delivery with good food,1
Went there  Hot place not proper air conditioning  Staff was busy watching movie  Didnt bother to ask for order Walked out right away,0
Amazing fooodd,1
wet n worst food worst food of my life,0
I ordered Large but you guys gave me medium and regular pizza this not fair,0
the delivery took a long time and burger was not hot,0
"A good place to hang out with friends and have fun
Hookah smoke is amazing
The prices are reasonable including taxes
The food can be improved",1
chicken items are good tasteless and no salt in chicken fried rice,0
received wrong order,0
Ordered the chicken wholesome and caramel banana French toast Both were amazing Ideal place for a good breakfast The pancakes are good as well,1
"Nice cosy cafe in kalyan nagar
Good service

We ordered nachos burger and pizza
All the dishes were beautifully presented and tasty
I can go again",1
Tasty Yummy and good quantity food Best restaurant to order from,1
The chillie paneer and Alfredo pasta were amazingly awesomeLoved the taste,1
King of coffees are served here  Great place to work or to date with soulful music  Humble staff with lovely ambience Rich in caffeine and love ,1
The Ice cream wasnt even cold it was warm,0
"Good place to visit with friends Price of food is little bit high but taste is good
I ordered pasta shake fish and chips and fries Must visit",1
The pesto was really bitter and the pasta wasnt worth the price,0
The Ice cream wasnt even cold it was warm,0
ossam,1
yummy foood,1
not so good,0
The worst burger ever,0
nice service the food is good staff r friendly i liked the mango smoothi and chicken burger  blue berry cheese cake  u need to try this place,1
It was non spicy,0
superb food,1
Excellent Im in love with their food Very satisfying,1
The mocktails were good We ordered pork ribs which was well prepared But the sizzler was not so great Overall it was ok ok on the better side,1
"I will restrict this review to paramater ratings
Food 2 out of 5
Beverages 2 out of 5
Price 1 out of 5
Service 2 out of 5
Ambiance 2 out of 5",0
awesome,1
Food is not so delicious I expected more but it dissapointed me,0
Decent place to have Hookah and good times with your friends not very expensive A budgeted place  Food was very nice so as the ambience ,1
From the rain courtyard to the pots of coffee and tea and for a million other reasons this pretty cafe has got to be my most frequented place,1
Decent place to hangout ambiance wise pretty OK can play uno and other indoor games there Food was 35 but the service was pretty quick,1
"Rating the lowest for allowing people to smoke 
Bombay cutting chai was good 
Bun wasnt good 
Kesar Badam ka Garh doodh was ok",0
"As I entered this store with my friend s Awesome place and biriyani was very tasty and yummu 
Ambience was really great
Nice place overall",1
waste of money,0
Amazing place Very friendly staff Wide range of flavours of sheesha available Good ambiance Pretty cool hangout place for college students,1
dont ever order pizza from here,0
nice service the food is good staff r friendly i liked the mango smoothi and chicken burger  blue berry cheese cake  u need to try this place,1
not bad,0
Rats and roaches running under our feet I wouldnt recommend this place to anyone ,0
It has been an wonderful experience at this place The service was quick the staff was very courteous and the English Breakfast was amazing,1
I had the Thai curry ate it all so I dont have evidence the tiramisu is okay can be better Cozy nice place Good music Nice location,1
Good pizza,1
The worst burger ever,0
Nice little cafe Very friendly staff Food is nice as well Would recommend baba black sheep burger as well as white truffle cafe in desserts,1
did not bring order properly,0
ossam,1
Items missing in the order Poor quality Worst experience,0
Amazing There are real authentic Japanese cafe  sweets Matcha Kintoki was so great Home made UDON noodle also very nice Must visit in Bangalore,1
Its not at all walnut brownie,0
Loved the classy ambience and their mocha with cream its one of the best Should drop by for anytime coffee and very courteous staff,1
did not bring order properly,0
good,1
"I ordered a walnut brownie but I got a chocolate brownie
Please revert",0
Odered grilled sandwich and they gave toasted bread with uncooked cheese inside,0
h,1
Good quality food The dosa and chicken curry is yummy The dosa and veg curry is yummier Overall good food Consistent quality Keep it up guys,1
